Project Name,Package Name,Type Name,Method Name,Implementation Smell,Cause of the Smell,Method start line no
chemistry-calculator,ChemistryCalculator.backend,Atom,Atom,Magic Number,The method contains a magic number: 2,12
chemistry-calculator,ChemistryCalculator.backend,Atom,Atom,Long Statement,The length of the statement "allAtoms.entrySet().stream().filter(entry -> atomicNumber == Integer.parseInt(entry.getValue()[0])).forEachOrdered(entry -> {" is 125.,21
chemistry-calculator,ChemistryCalculator.backend,Atom,Atom,Magic Number,The method contains a magic number: 2,21
chemistry-calculator,ChemistryCalculator.backend,Atom,getInstance,Magic Number,The method contains a magic number: 118,37
chemistry-calculator,ChemistryCalculator.backend,Atom,getElectronConfig,Long Statement,The length of the statement "String[][] orbitals={{"1s"`"2"}`{"2s"`"2"}`{"2p"`"6"}`{"3s"`"2"}`{"3p"`"6"}`{"4s"`"2"}`{"3d"`"10"}`{"4p"`"6"}`{"5s"`"2"}`{"4d"`"10"}`{"5p"`"6"}`{"6s"`"2"}`{"4f"`"14"}`{"5d"`"10"}`{"6p"`"6"}`{"7s"`"2"}`{"5f"`"14"}`{"6d"`"10"}`{"7p"`"6"}`{"8s"`"2"}};" is 248.,49
chemistry-calculator,ChemistryCalculator.backend,Compound,calculatePercentageOfCompletion,Magic Number,The method contains a magic number: 100,41
chemistry-calculator,ChemistryCalculator.backend,Concentration,getMolarity,Magic Number,The method contains a magic number: 1000,17
chemistry-calculator,ChemistryCalculator.backend,Concentration,getMolality,Magic Number,The method contains a magic number: 1000,22
chemistry-calculator,ChemistryCalculator.backend,Converter,convert,Long Statement,The length of the statement "map.entrySet().stream().filter(entry -> !removedItem.contains(entry.getKey())).map(entry -> new Step(entry.getKey()`stepValue * entry.getValue())).forEach(stack::add);" is 167.,33
chemistry-calculator,ChemistryCalculator.backend,DatabaseSerializer,main,Long Method,The method has 124 lines of code.,11
chemistry-calculator,ChemistryCalculator.backend,DatabaseSerializer,main,Long Statement,The length of the statement "FileOutputStream fileOutputStream=new FileOutputStream("C:/Users/HP/Desktop/ChemCal/src/ChemistryCalculator/database/databases.ser");" is 133.,11
chemistry-calculator,ChemistryCalculator.backend,EquationBalancer,balance,Complex Method,Cyclomatic complexity of the method is 12,13
chemistry-calculator,ChemistryCalculator.backend,EquationBalancer,balance,Long Statement,The length of the statement "int[][] elementsMatrix=manager.getElementMatrix().stream().map(u -> u.stream().mapToInt(i -> i).toArray()).toArray(int[][]::new);" is 129.,13
chemistry-calculator,ChemistryCalculator.backend,Fraction,equals,Long Statement,The length of the statement "return (this.numerator == fractionTwo.numerator && this.denominator == fractionTwo.denominator) || (this.numerator == -fractionTwo.numerator && this.denominator == -fractionTwo.denominator);" is 190.,100
chemistry-calculator,ChemistryCalculator.backend,Fraction,getLCM,Complex Method,Cyclomatic complexity of the method is 8,107
chemistry-calculator,ChemistryCalculator.backend,Matrix,gaussianElimination,Complex Method,Cyclomatic complexity of the method is 9,51
chemistry-calculator,ChemistryCalculator.backend,Matrix,nullSpace,Complex Method,Cyclomatic complexity of the method is 12,114
chemistry-calculator,ChemistryCalculator.backend,Titration,Titration,Long Parameter List,The method has 6 parameters. ,12
chemistry-calculator,ChemistryCalculator.backend,Titration,Titration,Magic Number,The method contains a magic number: 2,12
chemistry-calculator,ChemistryCalculator.backend,Titration,Titration,Magic Number,The method contains a magic number: 2,12
chemistry-calculator,ChemistryCalculator.backend,Titration,isValid,Magic Number,The method contains a magic number: 2,62
chemistry-calculator,ChemistryCalculator.frontend,ConcentrationPanel,initComponent,Long Identifier,The length of the field labelForEquivalentNumTextfield is 30.,59
chemistry-calculator,ChemistryCalculator.frontend,ConcentrationPanel,initComponent,Long Statement,The length of the statement "volumeUnitComboBox.setModel(new DefaultComboBoxModel<>(new String[]{"deciliters"`"milliliters"`"centiliters"`"liters"`"cubic_decimeters"`"cubic_millimeters"`"cubic_centimeters"}));" is 180.,59
chemistry-calculator,ChemistryCalculator.frontend,ConcentrationPanel,initComponent,Magic Number,The method contains a magic number: 2,59
chemistry-calculator,ChemistryCalculator.frontend,ConcentrationPanel,setComponentLayout,Long Identifier,The length of the field labelForEquivalentNumTextfield is 30.,176
chemistry-calculator,ChemistryCalculator.frontend,ConcentrationPanel,setComponentLayout,Long Statement,The length of the statement "errorMessagePanelLayout.setHorizontalGroup(errorMessagePanelLayout.createParallelGroup(GroupLayout.Alignment.LEADING).addGroup(GroupLayout.Alignment.TRAILING`errorMessagePanelLayout.createSequentialGroup().addGap(0`0`Short.MAX_VALUE).addComponent(errorMessageLabel`GroupLayout.PREFERRED_SIZE`654`GroupLayout.PREFERRED_SIZE)));" is 326.,176
chemistry-calculator,ChemistryCalculator.frontend,ConcentrationPanel,setComponentLayout,Long Statement,The length of the statement "errorMessagePanelLayout.setVerticalGroup(errorMessagePanelLayout.createParallelGroup(GroupLayout.Alignment.LEADING).addGroup(errorMessagePanelLayout.createSequentialGroup().addComponent(errorMessageLabel`GroupLayout.PREFERRED_SIZE`40`GroupLayout.PREFERRED_SIZE).addGap(0`0`Short.MAX_VALUE)));" is 292.,176
