Project Name,Package Name,Type Name,Method Name,LOC,CC,PC,Line no,IsTest,Main prod class tested,Production classes tested
chemistry-calculator,ChemistryCalculator.backend,Atom,Atom,7,1,1,12,0,,
chemistry-calculator,ChemistryCalculator.backend,Atom,Atom,9,1,1,21,0,,
chemistry-calculator,ChemistryCalculator.backend,Atom,getInstance,6,2,1,30,0,ChemistryCalculator.backend.Atom,ChemistryCalculator.backend.Atom
chemistry-calculator,ChemistryCalculator.backend,Atom,getInstance,6,2,1,37,0,,
chemistry-calculator,ChemistryCalculator.backend,Atom,isValid,3,1,1,44,0,,
chemistry-calculator,ChemistryCalculator.backend,Atom,getElectronConfig,17,3,0,49,0,,
chemistry-calculator,ChemistryCalculator.backend,Atom,getSymbol,3,1,0,83,0,,
chemistry-calculator,ChemistryCalculator.backend,Atom,getName,3,1,0,87,0,,
chemistry-calculator,ChemistryCalculator.backend,Atom,getAtomicMass,3,1,0,91,0,,
chemistry-calculator,ChemistryCalculator.backend,Atom,getAtomicNumber,3,1,0,95,0,,
chemistry-calculator,ChemistryCalculator.backend,Atom,toString,3,1,0,99,0,,
chemistry-calculator,ChemistryCalculator.backend,Compound,Compound,4,1,1,13,0,,
chemistry-calculator,ChemistryCalculator.backend,Compound,calculateMolarMass,11,2,0,20,0,ChemistryCalculator.backend.CompoundManager,ChemistryCalculator.backend.CompoundManager; ChemistryCalculator.backend.Atom
chemistry-calculator,ChemistryCalculator.backend,Compound,calculatePercentageOfCompletion,20,3,0,41,0,ChemistryCalculator.backend.CompoundManager,ChemistryCalculator.backend.CompoundManager; ChemistryCalculator.backend.Atom; ChemistryCalculator.backend.Compound
chemistry-calculator,ChemistryCalculator.backend,Compound,getPercentageOfCompletion,6,2,0,67,0,ChemistryCalculator.backend.Compound,ChemistryCalculator.backend.Compound
chemistry-calculator,ChemistryCalculator.backend,Compound,getCompound,3,1,0,74,0,,
chemistry-calculator,ChemistryCalculator.backend,Compound,getMolarMass,6,2,0,78,0,ChemistryCalculator.backend.Compound,ChemistryCalculator.backend.Compound
chemistry-calculator,ChemistryCalculator.backend,Compound,getAtomList,3,1,0,84,0,ChemistryCalculator.backend.CompoundManager,ChemistryCalculator.backend.CompoundManager
chemistry-calculator,ChemistryCalculator.backend,CompoundManager,CompoundManager,3,1,3,11,0,ChemistryCalculator.backend.CompoundManager,ChemistryCalculator.backend.CompoundManager
