Project Name,Package Name,Type Name,Testability Smell,Cause of the Smell
chemistry-calculator,ChemistryCalculator.backend,Compound,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: ChemistryCalculator.backend.CompoundManager
chemistry-calculator,ChemistryCalculator.backend,EquationBalancer,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: ChemistryCalculator.backend.Matrix; ChemistryCalculator.backend.CompoundManager
chemistry-calculator,ChemistryCalculator.backend,EquationBalancer,Law of Demeter violation,The tool detected the smell in this method (balance) because the method voilates the law of Demeter. The long chain of method invocations is : ChemistryCalculator.backend.Matrix.transpose; ChemistryCalculator.backend.Matrix.nullSpace
chemistry-calculator,ChemistryCalculator.backend,Matrix,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: ChemistryCalculator.backend.Fraction
chemistry-calculator,ChemistryCalculator.frontend,ConcentrationPanel,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: ChemistryCalculator.backend.Concentration
chemistry-calculator,ChemistryCalculator.frontend,EquationBalancePanel,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: ChemistryCalculator.backend.EquationBalancer
chemistry-calculator,ChemistryCalculator.frontend,Home,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: ChemistryCalculator.frontend.Sidebar
chemistry-calculator,ChemistryCalculator.frontend,MolarMassPanel,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: ChemistryCalculator.backend.Compound
chemistry-calculator,ChemistryCalculator.frontend,PercentOfCompletionPanel,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: ChemistryCalculator.backend.Compound
chemistry-calculator,ChemistryCalculator.frontend,TitrationPanel,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: ChemistryCalculator.backend.Titration
