Project Name,Package Name,Type Name,NOF,NOPF,NOM,NOPM,LOC,WMC,NC,DIT,LCOM,FANIN,FANOUT,File path,Line no
chemistry-calculator,ChemistryCalculator.backend,Atom,5,0,11,8,70,15,0,0,0.0,3,0,F:\exam\6th semester\LAB\Software Metrics\final check\rokon\chemistry-calculator\ChemistryCalculator\backend\Atom.java,5
chemistry-calculator,ChemistryCalculator.backend,Compound,4,0,7,5,59,12,0,0,0.0,5,2,F:\exam\6th semester\LAB\Software Metrics\final check\rokon\chemistry-calculator\ChemistryCalculator\backend\Compound.java,7
chemistry-calculator,ChemistryCalculator.backend,CompoundManager,3,0,13,10,97,23,0,0,0.0,2,2,F:\exam\6th semester\LAB\Software Metrics\final check\rokon\chemistry-calculator\ChemistryCalculator\backend\CompoundManager.java,6
chemistry-calculator,ChemistryCalculator.backend,Concentration,3,0,4,4,20,4,0,0,0.0,1,1,F:\exam\6th semester\LAB\Software Metrics\final check\rokon\chemistry-calculator\ChemistryCalculator\backend\Concentration.java,3
chemistry-calculator,ChemistryCalculator.backend,Converter,3,0,3,2,54,6,0,0,0.0,2,0,F:\exam\6th semester\LAB\Software Metrics\final check\rokon\chemistry-calculator\ChemistryCalculator\backend\Converter.java,7
chemistry-calculator,ChemistryCalculator.backend,Converter.Step,2,0,0,0,8,0,0,0,-1.0,0,0,F:\exam\6th semester\LAB\Software Metrics\final check\rokon\chemistry-calculator\ChemistryCalculator\backend\Converter.java,69
chemistry-calculator,ChemistryCalculator.backend,Database,1,0,2,2,16,2,0,0,0.0,0,0,F:\exam\6th semester\LAB\Software Metrics\final check\rokon\chemistry-calculator\ChemistryCalculator\backend\Database.java,9
chemistry-calculator,ChemistryCalculator.backend,DatabaseSerializer,0,0,1,1,126,1,0,0,-1.0,0,0,F:\exam\6th semester\LAB\Software Metrics\final check\rokon\chemistry-calculator\ChemistryCalculator\backend\DatabaseSerializer.java,10
chemistry-calculator,ChemistryCalculator.backend,EquationBalancer,2,0,2,2,69,13,0,0,0.0,1,3,F:\exam\6th semester\LAB\Software Metrics\final check\rokon\chemistry-calculator\ChemistryCalculator\backend\EquationBalancer.java,4
chemistry-calculator,ChemistryCalculator.backend,Fraction,2,0,18,17,121,32,0,0,0.0,2,0,F:\exam\6th semester\LAB\Software Metrics\final check\rokon\chemistry-calculator\ChemistryCalculator\backend\Fraction.java,3
chemistry-calculator,ChemistryCalculator.backend,History,0,0,1,0,25,3,0,0,-1.0,0,0,F:\exam\6th semester\LAB\Software Metrics\final check\rokon\chemistry-calculator\ChemistryCalculator\backend\History.java,11
chemistry-calculator,ChemistryCalculator.backend,InsufficientDataException,0,0,1,1,5,1,0,0,-1.0,0,0,F:\exam\6th semester\LAB\Software Metrics\final check\rokon\chemistry-calculator\ChemistryCalculator\backend\InsufficientDataException.java,3
chemistry-calculator,ChemistryCalculator.backend,InvalidAtomException,0,0,1,1,5,1,0,0,-1.0,0,0,F:\exam\6th semester\LAB\Software Metrics\final check\rokon\chemistry-calculator\ChemistryCalculator\backend\InvalidAtomException.java,3
chemistry-calculator,ChemistryCalculator.backend,InvalidEquationException,0,0,1,1,5,1,0,0,-1.0,0,0,F:\exam\6th semester\LAB\Software Metrics\final check\rokon\chemistry-calculator\ChemistryCalculator\backend\InvalidEquationException.java,3
chemistry-calculator,ChemistryCalculator.backend,Matrix,2,0,10,6,124,35,0,0,0.0,1,1,F:\exam\6th semester\LAB\Software Metrics\final check\rokon\chemistry-calculator\ChemistryCalculator\backend\Matrix.java,5
